Date,ob,oe
11/6/2019,9340.864258,189.113495
11/7/2019,9352.393555,191.504303
11/8/2019,9265.368164,187.924271
11/9/2019,8809.46875,184.311722
11/10/2019,8812.489258,184.943359
11/11/2019,9056.917969,189.50293
11/12/2019,8759.751953,185.564835
11/13/2019,8812.033203,186.942444
11/14/2019,8811.936523,188.272507
11/15/2019,8705.708008,186.058167
11/16/2019,8491.166016,180.4991
11/17/2019,8549.470703,183.35083
11/18/2019,8573.980469,185.041458
11/19/2019,8305.134766,180.502457
11/20/2019,8203.613281,177.415283
11/21/2019,8023.644531,175.673599
11/22/2019,7643.569336,161.50589
11/23/2019,7296.164551,150.212219
11/24/2019,7398.633789,153.430527
11/25/2019,7039.977051,142.697006
11/26/2019,7145.15918,146.404312
11/27/2019,7220.880859,148.39682
11/28/2019,7536.820313,153.069244
11/29/2019,7466.727051,151.7686
11/30/2019,7764.057129,155.286407
12/1/2019,7571.616211,152.491928
12/2/2019,7424.036133,151.175476
12/3/2019,7323.975586,149.058243
12/4/2019,7320.125,147.918381
12/5/2019,7253.241699,146.686493
12/6/2019,7450.561523,149.396484
12/7/2019,7547.265625,149.197601
12/8/2019,7551.338867,148.743683
12/9/2019,7561.79541,151.224396
12/10/2019,7397.134277,148.179855
12/11/2019,7277.197754,146.320648
12/12/2019,7216.73877,143.615662
12/13/2019,7244.662109,145.655685
12/14/2019,7268.902832,144.953415
12/15/2019,7124.239746,142.86499
12/16/2019,7153.663086,143.139526
12/17/2019,6931.31543,133.647186
12/18/2019,6647.698242,122.656837
12/19/2019,7277.59082,133.05278
12/20/2019,7208.636719,129.384369
12/21/2019,7220.59375,129.095963
12/22/2019,7191.188477,128.098129
12/23/2019,7508.902344,132.306992
12/24/2019,7354.393066,128.629257
12/25/2019,7325.755859,129.068497
12/26/2019,7274.799316,126.486328
12/27/2019,7238.141113,126.368797
12/28/2019,7289.03125,127.213013
12/29/2019,7317.647461,128.266876
12/30/2019,7420.272949,134.796524
12/31/2019,7294.438965,132.612274
1/1/2020,7194.89209,129.630661
1/2/2020,7202.55127,130.820038
1/3/2020,6984.428711,127.411263
1/4/2020,7345.375488,134.168518
1/5/2020,7410.45166,135.072098
